loss,mse,val_loss,val_mse
67207.6015625,67207.6015625,69702.4375,69702.4375
62982.9765625,62982.9765625,60924.30859375,60924.30859375
48280.4609375,48280.4609375,36395.703125,36395.703125
20902.884765625,20902.884765625,13827.2373046875,13827.2373046875
9642.2373046875,9642.2373046875,10738.732421875,10738.732421875
6504.6435546875,6504.6435546875,7715.2470703125,7715.2470703125
4856.72265625,4856.72265625,6637.966796875,6637.966796875
4103.56005859375,4103.56005859375,5493.3779296875,5493.3779296875
3309.423095703125,3309.423095703125,4756.22802734375,4756.22802734375
2937.352294921875,2937.352294921875,4191.978515625,4191.978515625
2665.864013671875,2665.864013671875,3613.755859375,3613.755859375
2398.61181640625,2398.61181640625,3133.244384765625,3133.244384765625
1941.795654296875,1941.795654296875,2833.539306640625,2833.539306640625
1757.03125,1757.03125,2386.205810546875,2386.205810546875
1600.1419677734375,1600.1419677734375,2114.073974609375,2114.073974609375
1280.5535888671875,1280.5535888671875,1798.7703857421875,1798.7703857421875
1187.6790771484375,1187.6790771484375,1615.7239990234375,1615.7239990234375
1064.9569091796875,1064.9569091796875,1422.3890380859375,1422.3890380859375
932.724365234375,932.724365234375,1315.5389404296875,1315.5389404296875
898.7632446289062,898.7632446289062,1146.001708984375,1146.001708984375
785.9988403320312,785.9988403320312,841.8694458007812,841.8694458007812
720.1512451171875,720.1512451171875,764.4002685546875,764.4002685546875
649.996826171875,649.996826171875,718.5892333984375,718.5892333984375
620.6281127929688,620.6281127929688,692.2286376953125,692.2286376953125
633.5676879882812,633.5676879882812,689.5938110351562,689.5938110351562
591.0357055664062,591.0357055664062,651.390625,651.390625
576.9531860351562,576.9531860351562,632.894775390625,632.894775390625
578.6396484375,578.6396484375,536.302490234375,536.302490234375
491.49072265625,491.49072265625,512.0111694335938,512.0111694335938
517.8544921875,517.8544921875,482.1727600097656,482.1727600097656
498.6553955078125,498.6553955078125,456.2915954589844,456.2915954589844
446.3465270996094,446.3465270996094,466.3209228515625,466.3209228515625
461.82427978515625,461.82427978515625,437.8889465332031,437.8889465332031
476.23883056640625,476.23883056640625,445.5606994628906,445.5606994628906
456.38140869140625,456.38140869140625,403.23388671875,403.23388671875
504.1675109863281,504.1675109863281,381.5758972167969,381.5758972167969
476.4013977050781,476.4013977050781,377.3695068359375,377.3695068359375
461.1451110839844,461.1451110839844,347.59722900390625,347.59722900390625
433.8514099121094,433.8514099121094,355.8216552734375,355.8216552734375
443.43341064453125,443.43341064453125,374.78839111328125,374.78839111328125
396.5501708984375,396.5501708984375,349.3944091796875,349.3944091796875
432.58087158203125,432.58087158203125,358.45330810546875,358.45330810546875
416.60418701171875,416.60418701171875,337.8268737792969,337.8268737792969
426.4095764160156,426.4095764160156,301.1741943359375,301.1741943359375
445.0668029785156,445.0668029785156,272.46368408203125,272.46368408203125
393.5705871582031,393.5705871582031,294.3783874511719,294.3783874511719
379.0272216796875,379.0272216796875,307.59442138671875,307.59442138671875
394.59521484375,394.59521484375,317.96588134765625,317.96588134765625
385.4176330566406,385.4176330566406,304.87939453125,304.87939453125
416.40899658203125,416.40899658203125,310.4477844238281,310.4477844238281
397.34088134765625,397.34088134765625,285.6002197265625,285.6002197265625
402.08551025390625,402.08551025390625,280.9636535644531,280.9636535644531
420.7677307128906,420.7677307128906,267.79412841796875,267.79412841796875
368.8617858886719,368.8617858886719,275.20184326171875,275.20184326171875
364.1971435546875,364.1971435546875,288.6148376464844,288.6148376464844
395.7480163574219,395.7480163574219,261.92193603515625,261.92193603515625
408.1003723144531,408.1003723144531,253.16622924804688,253.16622924804688
384.9978942871094,384.9978942871094,248.72401428222656,248.72401428222656
383.3855895996094,383.3855895996094,273.37872314453125,273.37872314453125
337.2419738769531,337.2419738769531,292.7916259765625,292.7916259765625
366.4563293457031,366.4563293457031,365.4391174316406,365.4391174316406
353.5315246582031,353.5315246582031,282.2910461425781,282.2910461425781
380.4134826660156,380.4134826660156,276.68695068359375,276.68695068359375
367.8210144042969,367.8210144042969,272.997314453125,272.997314453125
417.03009033203125,417.03009033203125,295.27996826171875,295.27996826171875
378.7113037109375,378.7113037109375,216.76206970214844,216.76206970214844
332.4866638183594,332.4866638183594,253.18775939941406,253.18775939941406
378.5002746582031,378.5002746582031,251.63021850585938,251.63021850585938
397.7035827636719,397.7035827636719,252.17979431152344,252.17979431152344
351.1453552246094,351.1453552246094,256.2611999511719,256.2611999511719
416.29669189453125,416.29669189453125,208.47169494628906,208.47169494628906
413.9458312988281,413.9458312988281,223.77716064453125,223.77716064453125
397.1796875,397.1796875,260.2974853515625,260.2974853515625
371.4347229003906,371.4347229003906,320.11395263671875,320.11395263671875
341.6279296875,341.6279296875,247.18545532226562,247.18545532226562
380.570068359375,380.570068359375,237.1522979736328,237.15228271484375
396.0317687988281,396.0317687988281,239.1644744873047,239.1644744873047
372.989501953125,372.989501953125,225.07455444335938,225.07455444335938
331.8504333496094,331.8504333496094,215.24880981445312,215.24880981445312
342.2705383300781,342.2705383300781,228.59080505371094,228.59080505371094
376.4762878417969,376.4762878417969,224.7361297607422,224.7361297607422
